band_id;Artist_ID;artist_name;Status
4045;8369;2 Chainz;True
9537;11404;2Cents;True
469;5856;2D;True
4585;3928;40 Cal.;False
2337;7174;45 Grave;True
9055;11255;60 Second Assassin;True
4001;3469;A Guy Called Gerald;False
372;300;A Primitive Evolution;False
2223;7133;A$AP Rocky;True
5040;9047;A. J. McLean;True
3129;2788;A. J. Pero;False
4830;2788;A. J. Pero;False
2615;7420;A. W. Yrjänä;True
5218;9108;AJ Michalka;True
195;5657;AMG;True
4661;3975;AOA Black;False
2223;7130;ASAP Ferg;True
2223;7131;ASAP Nast;True
2223;7133;ASAP Rocky;True
2223;7132;ASAP Twelvyy;True
3370;2982;AZUKI七;False
6008;9599;Aaron Barrett;True
621;6043;Aaron Bertram;True
5326;9166;Aaron Bruno;True
4546;8691;Aaron Cometbus;True
6449;9991;Aaron Dalbec;True
1930;6898;Aaron Dessner;True
1560;1411;Aaron Escolopio;False
3575;1411;Aaron Escolopio;False
6452;9994;Aaron Hall;True
2686;2441;Aaron Harris;False
3559;3177;Aaron Lee Tasjan;False
5302;3177;Aaron Lee Tasjan;False
1295;1200;Aaron Lewis;False
7814;10806;Aaron Marsh;True
2519;7331;Aaron Neville;True
5027;4325;Aaron North;False
8415;1520;Aaron Pauley;True
1726;1520;Aaron Pauley;False
2562;2305;Aaron Riches;False
3563;3184;Aaron Rossi;False
4705;3184;Aaron Rossi;False
4231;3184;Aaron Rossi;False
480;412;Aaron Smith;False
2646;412;Aaron Smith;False
1182;6374;Aaron Solowoniuk;True
4760;8842;Aaron Sperske;True
3190;7782;Aaron Stainthorpe;True
5905;4999;Aaron Stern;False
2546;2443;Aaron Turner;True
6612;2443;Aaron Turner;True
2686;2443;Aaron Turner;False
2177;7116;Abby DeWald;True
1286;1195;Abby Travis;False
2068;7053;Abdee Negara;True
7900;10857;Abdul Duke Fakir;True
7900;10857;Abdul \\\\Duke\\\\ Fakir;True
2589;7380;Abednego Mazibuko;True
638;6053;Abi Fry;True
3400;3011;Abid Khan;False
5192;4414;Abigail Washburn;False
6550;10044;Abiodun Oyewole;True
